"","plantID","tier","projectNumber","sampleUniqueID","sampleID","product","flavorName","fatLevel","size","container","dateProcessed","dateCode","sampleDay","test","greaterThanLessThan","dataValue","countability"
"46",30,2,507,6824,"32-2","Extras","White","2%","Qt","Plastic","2023-01-09","2023-01-28","D14","CVTA","<","20","E"
"47",30,2,507,6824,"32-2","Extras","White","2%","Qt","Plastic","2023-01-09","2023-01-28","D21","SPC","NULL","3100000","NULL"
"48",30,2,507,6824,"32-2","Extras","White","2%","Qt","Plastic","2023-01-09","2023-01-28","D21","CVTA","<","20","E"
"49",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","DI","SPC","NULL","80","E"
"50",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","DI","CVTA","<","20","E"
"51",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","D7","SPC","NULL","49000","NULL"
"52",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","D7","CVTA","NULL","45000","NULL"
"53",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","D14","SPC","NULL","41000000","NULL"
"54",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","D14","CVTA","NULL","43000000","NULL"
"55",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","D21","SPC","NULL","5100000000","NULL"
"56",30,2,507,6821,"33","Core","White","Skim","½ Gal","Plastic","2023-01-09","2023-01-28","D21","CVTA","NULL","6900000000","NULL"
"57",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","DI","SPC","NULL","60","E"
"58",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","DI","CVTA","<","20","E"
"59",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","D7","SPC","NULL","45000","NULL"
"60",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","D7","CVTA","NULL","66000","NULL"
"61",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","D14","SPC","NULL","70000000","NULL"
"62",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","D14","CVTA","NULL","72000000","NULL"
"63",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","D21","SPC","NULL","3500000000","NULL"
"64",30,2,507,6822,"34","Core","White","1%","½ Gal","Plastic","2023-01-09","2023-01-28","D21","CVTA","NULL","3600000000","NULL"
"65",63,2,507,6825,"41","Core","White","Whole","½ Gal","Plastic","2023-01-17","2023-02-07","DI","SPC","NULL","10","E"
"66",63,2,507,6825,"41","Core","White","Whole","½ Gal","Plastic","2023-01-17","2023-02-07","DI","CVTA","<","20","E"
"67",63,2,507,6825,"41","Core","White","Whole","½ Gal","Plastic","2023-01-17","2023-02-07","D7","SPC","NULL","970","NULL"
"68",63,2,507,6825,"41","Core","White","Whole","½ Gal","Plastic","2023-01-17","2023-02-07","D7","CVTA","NULL","1100","NULL"
"69",63,2,507,6825,"41","Core","White","Whole","½ Gal","Plastic","2023-01-17","2023-02-07","D14","SPC","NULL","16000000","NULL"
"70",63,2,507,6825,"41","Core","White","Whole","½ Gal","Plastic","2023-01-17","2023-02-07","D14","CVTA","NULL","16000000","NULL"
"71",63,2,507,6826,"42","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","<","10","E"
"72",63,2,507,6826,"42","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"73",63,2,507,6826,"42","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","NULL","10","E"
"74",63,2,507,6826,"42","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","<","20","E"
"75",63,2,507,6826,"42","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","10","E"
"76",63,2,507,6826,"42","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","<","20","E"
"77",63,2,507,6828,"42-1","Extras","White","2%","Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","NULL","10","E"
"78",63,2,507,6828,"42-1","Extras","White","2%","Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"79",63,2,507,6828,"42-1","Extras","White","2%","Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","NULL","10","E"
"80",63,2,507,6828,"42-1","Extras","White","2%","Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","<","20","E"
"81",63,2,507,6828,"42-1","Extras","White","2%","Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","230","E"
"82",63,2,507,6828,"42-1","Extras","White","2%","Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","<","20","E"
"83",63,2,507,6829,"42-2","Extras","White","2%","½ Gal","Glass","2023-01-16","2023-02-06","DI","SPC","NULL","150","E"
"84",63,2,507,6829,"42-2","Extras","White","2%","½ Gal","Glass","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"85",63,2,507,6829,"42-2","Extras","White","2%","½ Gal","Glass","2023-01-16","2023-02-06","D7","SPC","NULL","12000","NULL"
"86",63,2,507,6829,"42-2","Extras","White","2%","½ Gal","Glass","2023-01-16","2023-02-06","D7","CVTA","NULL","16000","NULL"
"87",63,2,507,6829,"42-2","Extras","White","2%","½ Gal","Glass","2023-01-16","2023-02-06","D14","SPC","NULL","18000000","NULL"
"88",63,2,507,6829,"42-2","Extras","White","2%","½ Gal","Glass","2023-01-16","2023-02-06","D14","CVTA","NULL","18000000","NULL"
"89",63,2,507,6827,"43","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","<","10","E"
"90",63,2,507,6827,"43","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"91",63,2,507,6827,"43","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","<","10","E"
"92",63,2,507,6827,"43","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","<","20","E"
"93",63,2,507,6827,"43","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","90","E"
"94",63,2,507,6827,"43","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","<","20","E"
"95",63,2,507,6830,"45","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","NULL","10","E"
"96",63,2,507,6830,"45","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"97",63,2,507,6830,"45","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","NULL","10","E"
"98",63,2,507,6830,"45","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","<","20","E"
"99",63,2,507,6830,"45","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","11000","NULL"
"100",63,2,507,6830,"45","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","<","20","E"
"101",63,2,507,6831,"45-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-16","2023-02-06","DI","SPC","<","10","E"
"102",63,2,507,6831,"45-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"103",63,2,507,6831,"45-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-16","2023-02-06","D7","SPC","<","10","E"
"104",63,2,507,6831,"45-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-16","2023-02-06","D7","CVTA","<","20","E"
"105",63,2,507,6831,"45-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","12000","NULL"
"106",63,2,507,6831,"45-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-16","2023-02-06","D14","CVTA","NULL","6900","NULL"
"107",11,3,507,6832,"51","Core","White","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","NULL","510","NULL"
"108",11,3,507,6832,"51","Core","White","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"109",11,3,507,6832,"51","Core","White","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","NULL","10000","NULL"
"110",11,3,507,6832,"51","Core","White","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","NULL","15000","NULL"
"111",11,3,507,6832,"51","Core","White","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","34000000","NULL"
"112",11,3,507,6832,"51","Core","White","Whole","½ Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","NULL","52000000","NULL"
"113",11,3,507,6833,"52","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","NULL","250","E"
"114",11,3,507,6833,"52","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"115",11,3,507,6833,"52","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","NULL","3200","NULL"
"116",11,3,507,6833,"52","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","NULL","2900","NULL"
"117",11,3,507,6833,"52","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","37000000","NULL"
"118",11,3,507,6833,"52","Core","White","2%","½ Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","NULL","40000000","NULL"
"119",11,3,507,6839,"52-2","Extras","White","2%","Gal","Plastic","2023-01-15","2023-02-06","DI","SPC","NULL","280","E"
"120",11,3,507,6839,"52-2","Extras","White","2%","Gal","Plastic","2023-01-15","2023-02-06","DI","CVTA","<","20","E"
"121",11,3,507,6839,"52-2","Extras","White","2%","Gal","Plastic","2023-01-15","2023-02-06","D7","SPC","NULL","80","E"
"122",11,3,507,6839,"52-2","Extras","White","2%","Gal","Plastic","2023-01-15","2023-02-06","D7","CVTA","<","20","E"
"123",11,3,507,6839,"52-2","Extras","White","2%","Gal","Plastic","2023-01-15","2023-02-06","D14","SPC","NULL","870","NULL"
"124",11,3,507,6839,"52-2","Extras","White","2%","Gal","Plastic","2023-01-15","2023-02-06","D14","CVTA","<","20","E"
"125",11,3,507,6840,"52-3","Extras","White","2%","½ Gal","Paper","2023-01-16","2023-02-03","DI","SPC","NULL","50","E"
"126",11,3,507,6840,"52-3","Extras","White","2%","½ Gal","Paper","2023-01-16","2023-02-03","DI","CVTA","<","20","E"
"127",11,3,507,6840,"52-3","Extras","White","2%","½ Gal","Paper","2023-01-16","2023-02-03","D7","SPC","NULL","70","E"
"128",11,3,507,6840,"52-3","Extras","White","2%","½ Gal","Paper","2023-01-16","2023-02-03","D7","CVTA","<","20","E"
"129",11,3,507,6840,"52-3","Extras","White","2%","½ Gal","Paper","2023-01-16","2023-02-03","D14","SPC","NULL","40","E"
"130",11,3,507,6840,"52-3","Extras","White","2%","½ Gal","Paper","2023-01-16","2023-02-03","D14","CVTA","<","20","E"
"131",11,3,507,6834,"53","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","<","10","E"
"132",11,3,507,6834,"53","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"133",11,3,507,6834,"53","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","<","10","E"
"134",11,3,507,6834,"53","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","<","20","E"
"135",11,3,507,6834,"53","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","150","E"
"136",11,3,507,6834,"53","Core","White","Skim","½ Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","<","20","E"
"137",11,3,507,6835,"54","Core","White","1%","½ Gal","Plastic","2023-01-16","2023-02-06","DI","SPC","<","10","E"
"138",11,3,507,6835,"54","Core","White","1%","½ Gal","Plastic","2023-01-16","2023-02-06","DI","CVTA","<","20","E"
"139",11,3,507,6835,"54","Core","White","1%","½ Gal","Plastic","2023-01-16","2023-02-06","D7","SPC","<","10","E"
"140",11,3,507,6835,"54","Core","White","1%","½ Gal","Plastic","2023-01-16","2023-02-06","D7","CVTA","<","20","E"
"141",11,3,507,6835,"54","Core","White","1%","½ Gal","Plastic","2023-01-16","2023-02-06","D14","SPC","NULL","8500","NULL"
"142",11,3,507,6835,"54","Core","White","1%","½ Gal","Plastic","2023-01-16","2023-02-06","D14","CVTA","<","20","E"
"143",11,3,507,6837,"55","Single Serve","Chocolate","Skim","½ Pt","Paper","2023-01-15","2023-02-02","DI","SPC","NULL","10","E"
"144",11,3,507,6837,"55","Single Serve","Chocolate","Skim","½ Pt","Paper","2023-01-15","2023-02-02","DI","CVTA","<","20","E"
"145",11,3,507,6837,"55","Single Serve","Chocolate","Skim","½ Pt","Paper","2023-01-15","2023-02-02","D7","SPC","NULL","2000000","NULL"
"146",11,3,507,6837,"55","Single Serve","Chocolate","Skim","½ Pt","Paper","2023-01-15","2023-02-02","D7","CVTA","NULL","2000000","NULL"
"147",11,3,507,6837,"55","Single Serve","Chocolate","Skim","½ Pt","Paper","2023-01-15","2023-02-02","D14","SPC","NULL","7000000000","NULL"
"148",11,3,507,6837,"55","Single Serve","Chocolate","Skim","½ Pt","Paper","2023-01-15","2023-02-02","D14","CVTA","NULL","5900000000","NULL"
"149",11,3,507,6838,"55-1","Flavored","Chocolate","1%","Qt","Plastic","2023-01-16","2023-02-05","DI","SPC","NULL","10","E"
"150",11,3,507,6838,"55-1","Flavored","Chocolate","1%","Qt","Plastic","2023-01-16","2023-02-05","DI","CVTA","<","20","E"
"151",11,3,507,6838,"55-1","Flavored","Chocolate","1%","Qt","Plastic","2023-01-16","2023-02-05","D7","SPC","NULL","1300","NULL"
"152",11,3,507,6838,"55-1","Flavored","Chocolate","1%","Qt","Plastic","2023-01-16","2023-02-05","D7","CVTA","NULL","1600","NULL"
"153",11,3,507,6838,"55-1","Flavored","Chocolate","1%","Qt","Plastic","2023-01-16","2023-02-05","D14","SPC","NULL","1700000000","NULL"
"154",11,3,507,6838,"55-1","Flavored","Chocolate","1%","Qt","Plastic","2023-01-16","2023-02-05","D14","CVTA","NULL","1300000000","NULL"
"155",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","DI","SPC","NULL","40","E"
"156",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","DI","CVTA","<","20","E"
"157",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D7","SPC","NULL","570000","NULL"
"158",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D7","CVTA","NULL","1400000","NULL"
"159",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D14","SPC","NULL","160000000","NULL"
"160",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D14","CVTA","NULL","250000000","NULL"
"161",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D21","SPC","NULL","2000000000","NULL"
"162",80,3,507,6841,"61","Core","White","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D21","CVTA","NULL","2000000000","NULL"
"163",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","DI","SPC","NULL","120","E"
"164",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","DI","CVTA","<","20","E"
"165",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","D7","SPC",">","400000","E"
"166",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","D7","CVTA","NULL","340","E"
"167",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","D14","SPC","NULL","270000000","NULL"
"168",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","D14","CVTA","NULL","3900000","NULL"
"169",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","D21","SPC","NULL","570000000","NULL"
"170",80,3,507,6842,"61-1","Core","White","Whole","Qt","Plastic","2023-01-09","2023-01-28","D21","CVTA","NULL","56000000","NULL"
"171",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","DI","SPC","NULL","10","E"
"172",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","DI","CVTA","<","20","E"
"173",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D7","SPC","NULL","680000","NULL"
"174",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D7","CVTA","NULL","760000","NULL"
"175",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D14","SPC","NULL","37000000","NULL"
"176",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D14","CVTA","NULL","120000000","NULL"
"177",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D21","SPC","NULL","140000000","NULL"
"178",80,3,507,6844,"65","Flavored","Chocolate","Whole","½ Gal","Plastic","2023-01-09","2023-01-28","D21","CVTA","NULL","350000000","NULL"
"179",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","DI","SPC","NULL","20","E"
"180",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","DI","CVTA","<","20","E"
"181",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","D7","SPC","NULL","3800000","NULL"
"182",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","D7","CVTA","NULL","5900000","NULL"
"183",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","D14","SPC","NULL","360000000","NULL"
"184",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","D14","CVTA","NULL","44000000","NULL"
"185",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","D21","SPC",">","40000000000","E"
"186",80,3,507,6845,"65-1","Single Serve","Chocolate","Whole","Pt","Plastic","2023-01-09","2023-01-28","D21","CVTA","NULL","1900000000","NULL"
"187",64,3,507,6846,"71","Core","White","Whole","½ Gal","Plastic","2023-01-08","2023-01-29","DI","SPC","NULL","10","E"
"188",64,3,507,6846,"71","Core","White","Whole","½ Gal","Plastic","2023-01-08","2023-01-29","DI","CVTA","<","20","E"
"189",64,3,507,6846,"71","Core","White","Whole","½ Gal","Plastic","2023-01-08","2023-01-29","D7","SPC","NULL","90","E"
"190",64,3,507,6846,"71","Core","White","Whole","½ Gal","Plastic","2023-01-08","2023-01-29","D7","CVTA","NULL","140","E"
"191",64,3,507,6846,"71","Core","White","Whole","½ Gal","Plastic","2023-01-08","2023-01-29","D14","SPC","NULL","18000000","NULL"
"192",64,3,507,6846,"71","Core","White","Whole","½ Gal","Plastic","2023-01-08","2023-01-29","D14","CVTA","NULL","19000000","NULL"
"193",64,3,507,6847,"71-1","Core","White","Whole","½ Gal","Plastic","2023-01-05","2023-01-26","DI","SPC","NULL","1100","NULL"
"194",64,3,507,6847,"71-1","Core","White","Whole","½ Gal","Plastic","2023-01-05","2023-01-26","DI","CVTA","NULL","740","NULL"
"195",64,3,507,6847,"71-1","Core","White","Whole","½ Gal","Plastic","2023-01-05","2023-01-26","D14","SPC","NULL","120000000","NULL"
"196",64,3,507,6847,"71-1","Core","White","Whole","½ Gal","Plastic","2023-01-05","2023-01-26","D14","CVTA","NULL","130000000","NULL"
"197",82,1,507,6848,"81","Core","White","Whole","½ Gal","Plastic","2023-01-10","2023-01-24","DI","SPC","<","10","E"
"198",82,1,507,6848,"81","Core","White","Whole","½ Gal","Plastic","2023-01-10","2023-01-24","DI","CVTA","<","20","E"
"199",82,1,507,6848,"81","Core","White","Whole","½ Gal","Plastic","2023-01-10","2023-01-24","D7","SPC","NULL","860","NULL"
"200",82,1,507,6848,"81","Core","White","Whole","½ Gal","Plastic","2023-01-10","2023-01-24","D7","CVTA","NULL","1000","NULL"
"201",82,1,507,6848,"81","Core","White","Whole","½ Gal","Plastic","2023-01-10","2023-01-24","D14","SPC","NULL","21000000","NULL"
"202",82,1,507,6848,"81","Core","White","Whole","½ Gal","Plastic","2023-01-10","2023-01-24","D14","CVTA","NULL","25000000","NULL"
"203",82,1,507,6848,"81","Core","White","Whole","½ Gal","Plastic","2023-01-10","2023-01-24","D21","SPC","NULL","780000000","NULL"
