"","lot_id","unit_id","N0","spoilage_type","STorAT","time","N","logN"
"54.21",3,7,19.7008130288745,"PPC","ST_2",21,15410623.1624919,7.18782020072748
"55.21",3,10,17.6220192757767,"PPC","ST_56",21,160747940.053921,8.20614541625289
"56.21",3,17,101.038602638373,"PPC","ST_9",21,41950496.7024469,7.62273710733051
"57.21",3,27,1.48257246181443,"PPC","ST_13",21,126548517.454126,8.10225706166129
"58.21",3,34,12.2917979285444,"PPC","ST_48",21,1112332.59291781,6.04623466285049
"59.21",3,36,72.07102507437,"PPC","ST_13",21,162178906.884383,8.20999436886767
"60.21",3,43,0.255676980358143,"PPC","ST_17",21,230786929.768404,8.36321120963885
"61.21",3,48,0.0319354491946513,"PPC","ST_81",21,134.929386086218,2.13010654437358
"62.21",3,55,17.8082164447606,"PPC","ST_75",21,17068797.7110069,7.23220293143316
"63.21",3,60,40.9018571547013,"PPC","ST_52",21,113998520.766158,8.0568992160096
"64.21",3,67,31.2654855470491,"PPC","ST_13",21,137449559.970834,8.13814335383722
"65.21",3,70,1.29812678363849,"PPC","ST_9",21,144491272.804254,8.15984161672984
"66.21",3,73,7.99263417090127,"PPC","ST_6",21,23978.6033168973,4.37982388312356
"67.21",3,86,2.66496128927139,"PPC","ST_13",21,163745538.317505,8.21416947531734
"68.21",3,88,7.62514332178584,"PPC","ST_81",21,259269.977680507,5.41375223029591
"69.21",3,93,6.13254804237618,"PPC","ST_13",21,125634555.232703,8.09910910662148
"70.21",4,2,0.34553826339035,"PPC","ST_2",21,2963301.43117471,6.47177583077045
"71.21",4,4,2.01028047589314,"PPC","ST_2",21,162160.211214026,5.20994430135482
"72.21",4,7,0.11323622243268,"PPC","ST_9",21,194465.982414837,5.28884364195164
"73.21",4,18,3.96355100271975,"PPC","ST_13",21,140322618.994621,8.14712768181086
"74.21",4,20,8.66025777331949,"PPC","ST_52",21,115595182.825635,8.06293973619666
"75.21",4,37,0.0446080747529334,"PPC","ST_9",21,154148949.323748,8.18794056892984
"76.21",4,59,2.49900553368271,"PPC","ST_52",21,8954520.20402086,6.95204232068996
"77.21",4,71,49.597932922938,"PPC","ST_6",21,11142051.8720239,7.04696517599394
"78.21",4,76,0.125273466902358,"PPC","ST_75",21,551580.234421529,5.74160869507549
"79.21",4,80,1.06831866226528,"PPC","ST_2",21,15252832.8156887,7.18335051004142
"80.21",4,87,3.94553045812975,"PPC","ST_13",21,125453878.22834,8.0984840914548
"81.21",4,88,3.94435870396168,"PPC","ST_48",21,354932525.851362,8.55014579971532
"82.21",4,90,0.15630702246704,"PPC","ST_24",21,49175036.6141039,7.69174469195278
"83.21",4,91,0.0147405909220365,"PPC","ST_9",21,79556756.4114878,7.90067706830222
"84.21",4,92,17.9031846550761,"PPC","ST_9",21,5953383.19445033,6.7747638371762
"85.21",4,93,1.17156875902208,"PPC","ST_13",21,106754320.484669,8.02838546050906
"86.21",5,4,13.9394388110309,"PPC","ST_52",21,24135928.534953,7.38266401124874
"87.21",5,6,0.0232056790061476,"PPC","ST_23",21,58193366.0296834,7.76487347844858
"88.21",5,22,9.69769340568137,"PPC","ST_24",21,5230983.87132407,6.71858338097071
