,Plant,VSLNumber,SampleID,Day_Initial_Actual,Spoiled20000_yn,AnyGN_yn,exceed20000byD10_yn,exceed100000postD10_yn,HigherSPC_yn,GN_AtLeast2x,CVTAexceed20000_yn,CVTAexceed1mill_yn,spoilagetype,spoilagetype_actual,,SPC_DI,SPC_D7,SPC_D10,SPC_D14,SPC_D17,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D10,CVTA_D14,CVTA_D17,CVTA_D21,LOD_SPC_DI,LOD_SPC_D7,LOD_SPC_D10,LOD_SPC_D14,LOD_SPC_D17,LOD_SPC_D21,LOD_CVTA_DI,LOD_CVTA_D7,LOD_CVTA_D10,LOD_CVTA_D14,LOD_CVTA_D17,LOD_CVTA_D21,Plant_VSLNumber_SampleID
68,36-1103,466,36,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,5,10,30,2100,74000,4600000,5,5,5,5,5,500,belowLOD,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1103_466_36
144,36-1880,466,22,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,210,900,160,510,190000,4600000,5,5,20,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,belowLOD,belowLOD,belowLOD,36-1880_466_22
147,36-1880,466,23,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,250,320,180,170,64000,5.00E+06,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_23
149,36-1880,466,24,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,280,100,80,3500,28000,850000,5,5,5,5,5,5,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_24
150,36-1880,466,25,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,30,50,40,6800,190000,1.90E+07,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_25
145,36-1880,466,22-1,3,yes,yes,no,yes,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,230,50,650,620000,5.60E+07,9.10E+08,5,5,1000,6.00E+05,5.10E+07,5.00E+08,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,OK,OK,OK,OK,36-1880_466_22-1
146,36-1880,466,22-2,3,yes,yes,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,240,110,80,930,22000,1.00E+06,5,5,5,5,5,8000,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,OK,36-1880_466_22-2
148,36-1880,466,23-1,3,yes,no,no,yes,no,no,no,no,sporeSpoil,sporeSpoil,1,70,30,50,1200,36000,1900000,5,5,5,5,5,500,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,belowLOD,36-1880_466_23-1
204,36-3108,466,41,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,280,3000,320000,1.70E+08,NotTested,NotTested,20,2500,420000,1.10E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-3108_466_41
205,36-3108,466,42,5,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,2300,2400,860000,9.40E+07,NotTested,NotTested,5,1700,680000,9.90E+07,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-3108_466_42
206,36-3108,466,43,5,noSpoil,no,no,no,no,no,no,no,noSpoil,noSpoil,1,2100,1100,2000,2500,NotTested,NotTested,5,5,5,5,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,belowLOD,belowLOD,belowLOD,OK,OK,36-3108_466_43
207,36-3108,466,45,5,yes,yes,no,yes,yes,no,yes,yes,ppcSpoil,ppcSpoil,1,10,30,480,7800000,NotTested,NotTested,5,20,280,2600000,NotTested,NotTested,OK,OK,OK,OK,OK,OK,belowLOD,OK,OK,OK,OK,OK,36-3108_466_45
262,36-5385,466,61,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,180,3900000,6.90E+07,5900000,NotTested,NotTested,20,5500000,7.40E+07,6800000,NotTested,NotTested,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-5385_466_61
263,36-5385,466,62,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,360,4.00E+07,9.50E+07,6.50E+08,NotTested,NotTested,40,4.00E+07,4.00E+07,4.20E+08,NotTested,NotTested,OK,aboveLOD,OK,OK,OK,OK,OK,aboveLOD,OK,OK,OK,OK,36-5385_466_62
265,36-5385,466,63,1,yes,yes,yes,no,yes,yes,yes,yes,ppcSpoil,ppcSpoil,1,590,160000,1.80E+07,1.20E+08,NotTested,NotTested,20,170000,2.50E+07,1.60E+08,NotTested,NotTested,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,36-5385_466_63
