"","t_F","T_F","t_T","T_T","t_S","T_S","t_T2","T_T2","T_H","N0","logN"
"4998.21",1.43607784039341,3.87306181550957,6.02441380001117,6.96848998495803,0.334636528056995,0.0871345720043637,0.0488402157676874,8.33374550288977,1.42568529046791,0.968764813628567,1.36339597549295
"4999.21",1.62326869694516,4.41470029833727,4.64801684934585,4.87647324184218,2.11486458660425,-0.744345129535621,0.0617564405948421,7.61953870593181,7.15300694220409,0.0200259046656824,1.89119744741695
"5000.21",1.8582225011196,4.08299379749224,2.53288456589911,7.03687578510404,3.74243092926147,-0.485743431226648,0.0133326471850987,8.84277749966335,5.80632443830381,4.18277993648436,2.42606551106064
"5001.21",1.34727365337312,4.03609876823612,7.48848921759316,5.67916827589155,3.85906009335639,2.3744901687196,0.0426284006400564,9.72138377312801,4.0502977935161,54.4123636106911,5.43444061100007
"5002.21",1.12315371120349,4.36858926899731,4.85962372313324,8.55201812975717,3.87089804799509,2.81599072994401,0.0574433685475233,7.99319461500617,2.01848315373656,0.75020453154922,3.27873776355395
"5003.21",1.42334697768092,3.73797720880248,4.65094092631316,6.29109848083369,3.81494126639335,1.42547185097392,0.035479943800739,9.24377971132921,5.64054731449977,0.258168054875104,2.37185335238349
"5004.21",1.32938157604076,4.04758870555088,4.81575868497444,6.29340874383404,0.747083769189836,1.54329414637135,0.0433844617319876,6.81414163604846,3.18974904528305,0.00506384972508403,-2.15833391764619
"5005.21",1.33759996690787,4.05916252965108,5.28189717662191,3.78623331368504,2.29435033852465,2.15850170230744,0.0610022572968947,9.92730252092054,7.09412087770922,0.264170722896159,6.08887807018955
"5006.21",1.34295957558788,3.79655616753735,5.20098906121172,8.04657376200103,2.01226432552708,2.31275857271469,0.0527389559515383,9.1316574360546,0.536101284489247,0.108508212774181,0.455266140653015
"5007.21",1.14595273416489,4.02655844134279,4.35019630442011,6.67992322506678,0.293301954500944,3.22532942291411,0.0582532378038641,9.04557982366571,2.57777145065103,0.0983143946078295,-1.0066480857565
"5008.21",1.41980654420331,4.27508568880148,6.90141697192339,4.41555894127836,6.45492641619758,0.454437450269311,0.0645795485103048,7.75406207206059,5.17234523864802,0.170159716118905,2.89915021883094
"5009.21",1.97797426534817,4.45278703654185,1.39671398194908,2.53881821580617,6.49189931950234,-0.0169784239590913,0.0489193629135346,8.88138029459732,4.38568642956358,1.00180161027029,1.2707135863596
"5010.21",1.16716952156276,3.94197789090686,4.11890512887014,3.73892700133566,2.82743995025846,0.897482283301724,0.0287358784334123,8.57716755440816,2.4549577294406,0.226083129787232,0.130848615423558
"5011.21",1.94507949403487,4.02823698986322,4.02265349053631,5.40773857794714,2.34493233876662,2.39644321579846,0.0219873054368192,8.93353773003009,3.94165487615366,0.470217603944133,2.58264716839887
"5012.21",1.63040960789658,4.29523030831479,5.17220406769749,3.54533991903124,0.946600545283302,4.11091696125585,0.0349578727381857,7.2896916476416,4.00519890333613,0.269899632735354,-0.562377242417291
"5013.21",1.51104552391917,4.06111038755625,2.71691346993168,4.00759878752375,2.8105075624607,3.3269004164304,0.0597457330158545,8.47151759680804,4.2724978302424,1.29380723743643,1.90572515977198
"5014.21",1.98314878391102,3.61609841836616,7.79218600236737,3.01393083172733,0.0900179736066165,2.96274039156642,0.0299329223909664,6.49588214980501,5.4550640184052,0.749304971729799,4.78935940968479
"5015.21",1.85033198469318,3.68818479799666,5.9259992473623,7.76197109737842,7.03663608256117,4.32802862835724,0.0338414905007099,9.211170738299,5.7191166781732,5.28535807510868,0.824821336073655
"5016.21",1.28720311261714,4.07915848423727,4.54922550295973,4.73638913660606,0.371909406615879,2.56310998107101,0.0285241741697199,8.94823636763086,5.96078778875312,0.125256733026994,-0.671070020540807
