,t_F,T_F,t_T,T_T,t_S,T_S,t_T2,T_T2,T_H,P_ppc,N0,logN
81.14,1.27170349,4.106239764,5.590258551,5.885027874,1.427149707,0.194772405,0.022825723,9.181200417,3.918532292,0.165753075,3.007358044,5.900810738
82.14,1.999057625,3.622005033,4.45865779,3.302023321,2.329184496,2.088745769,0.017905464,8.285829157,5.515050328,0.165753075,0.134688006,3.94323464
83.14,1.733401074,4.026776662,9.682984478,6.679727959,3.622174478,2.953913876,0.045146011,7.771920133,3.853295974,0.165753075,6.259144218,8.32941436
84.14,1.347100136,4.414784244,6.239490698,5.354109274,2.928180304,1.369834468,0.029347216,7.034319957,4.115304916,0.165753075,14.55526427,7.103106807
85.14,1.018897292,4.022306647,2.921647581,3.756292582,1.942782047,3.297929625,0.070713337,8.012523742,5.509735821,0.165753075,0.049261408,8.157068063
86.14,1.429322804,3.526675119,4.521074798,4.822927381,0.219039244,1.253060501,0.078298498,8.513732231,4.990829201,0.165753075,3.803904052,5.861062684
87.14,1.926050649,4.175901512,5.964389133,6.643107675,1.267353654,1.6785248,0.072881594,8.677379887,5.573408293,0.165753075,95.80121557,7.740237198
88.14,1.862962516,3.858228501,7.362786421,3.266541584,7.307757255,0.792683112,0.058956146,7.413323478,1.705623628,0.165753075,0.150210405,2.552683347
89.14,1.940709936,4.276115445,6.731587155,7.511105325,7.705435222,0.314024576,0.054016508,8.471662219,3.129029379,0.165753075,1.519648825,8.211314627
90.14,1.950337062,4.071534284,6.495811221,3.827859822,1.577579627,-0.957219208,0.048285526,7.352159263,7.12643339,0.165753075,6.228423702,5.734886306
91.14,1.400362166,4.397839685,6.265449763,4.076549992,6.037618339,1.133344855,0.034183635,8.224311571,4.714024298,0.146544579,16.51899376,4.182060455
92.14,1.041823982,3.597094314,6.608799588,5.929820055,3.782579231,3.015170325,0.066918197,7.957851904,2.90262231,0.146544579,0.417297784,8.055449388
93.14,1.699906007,4.212177419,4.46285855,2.393363728,2.411267891,-0.127651403,0.043543862,8.29823698,3.553532992,0.146544579,0.028311242,7.66931666
94.14,1.190823916,4.486729843,2.172579204,5.481357589,6.847547544,2.281465848,0.071244057,7.601407245,4.533059706,0.146544579,92.59002839,5.385689929
95.14,1.430559567,3.834454532,8.149790121,4.220037826,5.180156585,0.144069236,0.039505338,9.321553975,7.577201243,0.146544579,4.142324078,4.210775798
96.14,1.580633986,4.071431607,4.963062744,6.037454767,4.053902817,1.959806514,0.024021379,8.677312543,4.299195719,0.146544579,41.82581093,8.203698957
97.14,1.338574549,3.922659812,5.591570283,7.990758291,1.28582313,2.719558722,0.061091007,9.00986772,2.547938754,0.146544579,0.034504097,7.822047842
98.14,1.590221974,3.858400025,3.322784092,4.238638862,3.752124604,-0.100128238,0.039364238,8.444528549,9.27214533,0.146544579,27.96246246,8.141965078
99.14,1.255674421,4.107580259,7.685255119,7.907208792,8.476072659,2.516805227,0.043036005,9.675592194,4.18289024,0.146544579,1.143425488,6.919555125
100.14,1.21468764,3.52976388,4.206393582,5.634743493,5.709573418,2.216392302,0.037690667,9.863671823,4.16744064,0.146544579,153.422647,8.155762822
101.14,1.567852689,3.534629956,1.990317218,3.52718001,7.685120745,2.108485693,0.013778114,8.751431923,6.997653826,0.146544579,2.090849558,5.052067109
102.14,1.24193629,3.815480145,9.675706681,7.273839282,2.951077537,3.315167781,0.041302105,8.441652688,4.468008506,0.146544579,4.34684062,8.514683396
103.14,1.155338429,4.052731872,6.483830922,5.187127483,3.592989804,4.366866657,0.039634264,7.20821924,4.821441689,0.146544579,9.098906794,7.854113378
104.14,1.147808438,4.125402919,7.451917379,3.096396534,1.116003938,2.307103935,0.011505382,8.264551929,2.849699784,0.146544579,100.2389218,7.727610214
105.14,1.260475166,4.080765089,4.539091249,5.867649203,2.091023131,1.900571721,0.045877596,8.556259754,1.200786385,0.146544579,14.11696334,5.207531807
106.14,1.59285167,4.111110373,4.255086149,6.416207485,4.270236893,-0.830918112,0.048944385,9.466419285,11.38113405,0.189155496,0.643425582,7.147863515
107.14,1.669568534,3.600916039,4.946568843,3.428631571,3.79812389,2.048960466,0.039376294,9.170939114,3.388593064,0.189155496,61.44929875,7.334354573
108.14,1.733836199,4.020771235,8.114999949,6.150715102,3.871254248,1.895864395,0.050348292,7.361359451,1.548614562,0.189155496,0.177537017,5.303560011
109.14,1.830469944,4.379009988,2.720002939,3.51260285,2.918680555,1.693300131,0.029682649,7.040428511,7.461190035,0.189155496,6.20218265,6.743872617
110.14,1.904645054,4.087460962,8.416720651,2.898021617,7.205561368,4.666173947,0.0233272,8.893877154,9.079710742,0.189155496,32.02414486,5.846100943
111.14,1.394627736,3.862824509,1.343063684,4.781054502,3.803324692,3.634758475,0.010228908,8.462195167,0.154759997,0.189155496,0.461206469,2.798343627
