,VSLNumber,SampleID,Day_Initial,SPC_DI,SPC_D7,SPC_D14,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D14,CVTA_D21,spoilagetype
93,470,43,3,10,4e+06,3.3e+08,NA,5,4e+05,6.9e+08,NA,PPC
94,470,43-1,3,30,4e+06,2.6e+08,NA,40,4e+05,2.1e+08,NA,PPC
95,470,44,3,50,4e+06,6.4e+08,NA,40,4e+05,4.2e+08,NA,PPC
96,470,44-1,3,3,4e+06,8.5e+07,NA,20,4e+05,1.3e+08,NA,PPC
97,470,44-2,3,50,4e+06,1.9e+08,NA,20,4e+05,2.2e+08,NA,PPC
98,470,45,3,3,85000,5.8e+08,NA,5,110000,2e+08,NA,PPC
99,467,51,3,70,60,50,64000,5,5,5,5e+08,PPC
100,467,51-1,3,40,140000,2e+07,2.6e+09,20,28000,1.9e+07,2.2e+09,PPC
101,467,52,1,30,2500,7.2e+07,50000,5,2400,8.6e+07,50000,PPC
102,467,53,1,20,40,20,3e+08,5,5,5,2.8e+08,PPC
103,467,55,4,40,440,1.6e+07,6.4e+08,5,320,1.5e+07,6.2e+08,PPC
104,467,55-1,4,5,40,18000,2.4e+08,5,20,5,36000,spore spoilage
105,469,31,3,3,60,20,20,5,5,5,5,no spoilage
106,469,31-1,3,50,30,40,4e+05,5,5,20,40,spore spoilage
107,469,32,1,40,4e+06,1.3e+08,2.6e+08,5,4e+06,1.3e+08,2.2e+08,PPC
108,469,33,1,30,70,20,8700,5,5,5,5,no spoilage
109,469,35,2,10,540,1500000,7.3e+07,5,5,8300,180,spore spoilage
110,469,35-1,2,60,270,3600000,5.4e+07,5,5,5,5,spore spoilage
111,471,31,2,40,4e+06,2.5e+08,NA,5,4e+06,2.6e+08,NA,PPC
112,471,35,2,50,4e+06,1.8e+08,NA,20,4e+06,1.1e+08,NA,PPC
113,463,41,3,3,590,5400000,2.1e+07,5,800,3400000,1.4e+07,PPC
114,463,42,3,41,3300,1.3e+07,5.4e+07,5,2600,5400000,5.7e+07,PPC
115,463,43,3,51,82,70,51,5,5,500,20,no spoilage
116,463,45,3,50,20,40,4500000,5,5,5,61,spore spoilage
117,470,51,3,40,31000,3.8e+08,1.6e+09,5,29000,2.6e+08,1.4e+09,PPC
118,470,52,3,10,15000,2.4e+08,7.5e+08,5,14000,1.8e+08,4.6e+08,PPC
119,470,53,3,10,34000,1.6e+08,1.2e+09,5,32000,1.5e+08,1.3e+09,PPC
120,470,55,3,40,20,2.9e+08,3.4e+08,5,60,2.5e+08,2.6e+08,PPC
121,472,51,14,4e+05,NA,NA,1.3e+08,4e+05,NA,NA,9.8e+07,PPC
122,472,51-1,14,4e+05,NA,NA,2.1e+07,4e+05,NA,NA,9.6e+07,PPC
123,472,55,7,4e+05,NA,8.7e+07,2.2e+08,4e+05,NA,7.9e+07,2.1e+08,PPC
124,470,71,3,490,350,670,71000,5,80,4e+08,1.4e+07,PPC
125,470,71-1,16,110,110,780,NA,5,5,5,NA,no spoilage
126,470,75,2,670,210000,2.1e+07,1.6e+08,320,1100000,3.4e+08,5.4e+08,PPC
127,467,71,2,960,2800,1.5e+08,NA,5,27000,1.4e+08,NA,PPC
128,467,72,2,1500,14000,39000,NA,5,68000,6.2e+07,NA,PPC
129,467,72-1,2,1500,1600,160000,NA,5,5,5,NA,spore spoilage
130,467,72-2,2,1700,2800,7.8e+07,NA,5,160,1.3e+07,NA,PPC
131,467,73,2,320,18000,240000,NA,5,14000,500,NA,PPC
132,467,73-1,2,270,4e+06,3e+08,NA,40,4e+06,4.8e+08,NA,PPC
133,467,73-2,2,750,4e+06,2e+08,NA,5,4e+06,5e+08,NA,PPC
134,467,74,2,700,11000,2.3e+08,NA,5,11000,2.8e+08,NA,PPC
135,467,75,2,5,5,48000,NA,5,5,5,NA,spore spoilage
136,472,21,3,330,1400,1.1e+09,8600000,5,54000,1.2e+09,2.8e+08,PPC
137,472,22,3,230,410,4e+08,1.3e+08,5,5,4e+08,1.6e+08,PPC
138,472,22-1,3,410,190,88000,450000,5,5,5,5,spore spoilage
139,472,22-2,3,240,4e+06,4.3e+08,3.7e+08,100,4e+06,1e+09,3.7e+08,PPC
140,472,23,3,210,3400,9.2e+08,4.7e+07,5,3600,8e+08,80,PPC
141,472,24,3,250,1300,2.5e+08,4700000,5,860,2.8e+08,12000,PPC
142,472,25,3,20,30,130000,9300000,5,5,5,400,spore spoilage
143,466,22,3,210,900,510,4600000,5,5,5,500,spore spoilage
144,466,22-1,3,230,50,620000,9.1e+08,5,5,6e+05,5e+08,PPC
145,466,22-2,3,240,110,930,1e+06,5,5,5,8000,spore spoilage
146,466,23,3,250,320,170,5e+06,5,5,5,500,spore spoilage
147,466,23-1,3,70,30,1200,1900000,5,5,5,500,spore spoilage
148,466,24,3,280,100,3500,850000,5,5,5,5,spore spoilage
149,466,25,3,30,50,6800,1.9e+07,5,5,5,500,spore spoilage
150,470,11,3,40,100,93000,1.8e+08,5,100,4e+08,7e+07,PPC
151,470,12,3,30,100,9500,3200000,5,5,110,4400,spore spoilage
152,470,12-1,3,50,30,1200,1e+05,5,5,5,40,no spoilage
153,470,12-2,3,50,90,21000,3.7e+07,5,5,5,5,spore spoilage
154,470,13,3,80,60,950,1400000,5,5,5,5,spore spoilage
155,470,13-1,3,20,41000,1.6e+08,5.7e+08,5,67000,2e+08,7.2e+08,PPC
156,470,14,3,100,4e+06,1.2e+09,2.5e+08,5,4e+05,1.1e+09,1.6e+08,PPC
157,470,14-1,3,10,40,840,170000,5,5,5,180,spore spoilage
158,470,15,3,470,2600,1.8e+08,3.1e+09,5,2200,2.1e+08,2.4e+09,PPC
159,467,21,6,640,710,410000,1.7e+09,5,5,30000,50000,spore spoilage
160,467,21-1,8,1300,NA,3.4e+07,8e+07,155,NA,4e+06,7.3e+07,PPC
161,467,22,7,1200,NA,3400,1.1e+07,5,NA,340,3400000,PPC
162,467,23,8,430,NA,4e+06,4.1e+07,5,NA,4e+06,1.4e+07,PPC
163,467,23-1,8,690,NA,1.6e+07,6.6e+07,5,NA,4e+06,3.6e+07,PPC
164,467,24,8,630,NA,4e+06,7.4e+08,5,NA,4e+06,1.1e+09,PPC
165,472,31,3,20,20,4e+08,8.6e+08,5,5,4e+08,8.4e+08,PPC
166,472,31-1,3,3,4e+06,2.5e+08,9.2e+08,40,4e+06,1.6e+09,8.2e+08,PPC
167,472,31-2,3,190,110000,4.6e+08,1.1e+09,60,4e+06,8e+08,1.4e+09,PPC
168,472,32-1,3,100,4e+06,8.8e+08,3.2e+08,5,4e+06,8.2e+08,3.5e+08,PPC
169,472,33-1,3,20,4e+06,7e+08,4.2e+08,100,4e+06,1.3e+09,6.8e+08,PPC
170,472,33-2,3,30,4e+06,6.9e+08,6.4e+08,80,4e+06,1.8e+09,6.2e+08,PPC
171,472,34,3,3,3,3.3e+07,1.7e+08,5,20,3.3e+07,1.7e+08,PPC
172,472,34-1,3,10,110000,2.9e+08,3.9e+08,20,4e+06,1.1e+09,7e+08,PPC
173,464,21,3,1300,1600,160000,7.8e+08,5,1800,3400000,7.8e+08,PPC
174,464,21-1,3,1000,1400,870,16000,5,5,5,8000,no spoilage
175,464,21-2,3,540,1200,2.2e+07,7.3e+08,5,720,2.3e+07,4.4e+08,PPC
176,464,22,3,1400,2600,7900000,3.3e+08,5,2200,8e+07,2.4e+08,PPC
177,464,22-1,3,1500,1800,4.9e+07,5.3e+08,5,820,3.2e+07,2.4e+09,PPC
178,464,24,3,640,39000,6200000,3.6e+08,5,39000,5.6e+07,3.4e+08,PPC
179,464,24-1,3,580,110000,5.9e+07,1.6e+09,5,130000,5.9e+07,1.2e+09,PPC
180,464,25,3,210,3400,1.2e+08,2.6e+08,5,3400,1.1e+08,1.4e+08,PPC
181,469,21,3,220,140,4300,1800,5,5,5,740,no spoilage
182,469,21-1,5,200,NA,1900,1400000,5,NA,5,500,spore spoilage
183,469,21-2,3,160,220,150,2100,5,5,5,5,no spoilage
184,469,21-3,3,110,130,110,840,5,5,20,5,no spoilage
185,469,22,3,260,220,120,260,5,5,5,5,no spoilage
186,469,22-1,5,280,NA,670,560000,5,NA,5,5,spore spoilage
187,469,22-2,3,240,190,150,2700,5,5,5,5,no spoilage
188,469,23,3,140,15000,8.2e+07,2.6e+08,5,16000,8.4e+07,2e+08,PPC
189,469,23-1,3,170,130,4e+07,3.2e+08,5,5,4e+08,1.2e+08,PPC
190,469,24,3,240,180,120,230,5,5,5,5,no spoilage
191,469,24-1,6,290,NA,1900,1400000,5,NA,5,5,spore spoilage
192,469,25,6,80,NA,2.6e+08,1.1e+09,5,NA,2.6e+08,1.1e+09,PPC
193,471,71,6,160,NA,190,NA,5,NA,5,NA,no spoilage
194,471,71-1,3,590,4e+06,2e+07,NA,260,4e+06,3.4e+07,NA,PPC
195,471,72,3,230,4e+06,1.9e+08,NA,80,4e+06,1.7e+08,NA,PPC
196,471,72-1,7,130000,NA,8.5e+07,NA,4e+05,NA,7.7e+07,NA,PPC
197,471,73,3,250,130000,6.1e+07,NA,5,130000,9e+07,NA,PPC
198,471,73-1,3,170,4e+06,1.1e+07,NA,140,4e+06,2.2e+08,NA,PPC
199,471,73-2,3,550,4e+06,7e+07,NA,280,4e+06,5.6e+07,NA,PPC
200,471,74,6,230,NA,190,NA,5,NA,5,NA,no spoilage
201,471,74-1,3,780,4e+06,2.7e+07,NA,480,4e+06,1.6e+08,NA,PPC
202,471,75,3,270,4e+06,2.8e+07,NA,40,4e+06,1e+08,NA,PPC
203,466,41,5,280,3000,1.7e+08,NA,20,2500,1.1e+08,NA,PPC
204,466,42,5,2300,2400,9.4e+07,NA,5,1700,9.9e+07,NA,PPC
205,466,43,5,2100,1100,2500,NA,5,5,5,NA,no spoilage
206,466,45,5,10,30,7800000,NA,5,20,2600000,NA,PPC
207,468,41,1,3300,19000,1.2e+09,NA,5,18000,1.3e+09,NA,PPC
208,468,42,1,4200,4600,10000,NA,5,20,5,NA,no spoilage
209,468,43,1,2600,1900,19000,NA,5,5,3700,NA,no spoilage
210,468,45,1,10,3,130000,NA,5,5,5,NA,spore spoilage
211,464,31,3,1600,1300,6100,NA,5,5,220,NA,no spoilage
212,464,32,3,1800,920,5400000,NA,5,5,6400000,NA,PPC
213,464,32-1,3,1400,22000,7.4e+07,NA,5,28000,6.8e+07,NA,PPC
214,464,32-2,3,1600,1500,45000,NA,5,20,35000,NA,no spoilage
215,464,32-3,3,1600,1200,9200,NA,5,5,5,NA,no spoilage
216,464,32-4,3,1400,5100,2200,NA,5,5,20,NA,no spoilage
217,464,32-5,3,1700,1500,5.1e+07,NA,5,420,4.2e+07,NA,PPC
218,464,32-6,3,1500,1500,12000,NA,5,5,4300,NA,no spoilage
219,464,33,3,1500,2300,9000,NA,5,5,2000,NA,no spoilage
220,464,33-1,3,540,2100,1500,NA,5,5,5,NA,no spoilage
221,464,33-2,3,2500,2700,530000,NA,5,5,5,NA,spore spoilage
222,464,33-3,3,2300,11000,6e+06,NA,5,59000,3.4e+07,NA,PPC
223,464,33-4,3,1600,2300,1.2e+07,NA,5,5,500,NA,spore spoilage
224,464,34,3,1400,1200,140000,NA,5,20,140000,NA,PPC
225,464,34-1,3,1800,2400,2.4e+07,NA,5,5,2.7e+07,NA,PPC
226,464,35,3,1500,2200,2.3e+07,NA,5,1100,2.6e+07,NA,PPC
227,471,21,3,120,120,520,91000,5,5,5,5,spore spoilage
228,471,22,3,70,80,21000,1300000,5,5,20,5,spore spoilage
229,471,22-1,3,50,3,540,94000,5,5,5,5,spore spoilage
230,471,22-2,3,220,940,7400000,6.4e+07,5,580,1e+07,5e+07,PPC
231,471,22-3,3,90,50,82000,5800000,5,5,110000,4400000,PPC
232,471,22-4,3,50,40,230,1400000,5,5,300,64000,PPC
233,471,23,3,90,40,110,110000,5,5,40,20,spore spoilage
234,471,23-1,3,50,50,70,5800,5,5,5,5,no spoilage
235,471,24,3,150,40,370,180000,5,5,5,300,spore spoilage
236,471,24-1,3,40,1900,9600000,8.2e+08,5,2200,1e+07,6.2e+08,PPC
237,471,25,3,20,40,11000,6800000,5,5,1600,20,spore spoilage
238,471,25-1,3,50,40,150000,2.1e+07,5,5,5,500,spore spoilage
239,471,25-2,3,60,280,6900000,5.5e+08,5,5,500,50000,spore spoilage
240,471,25-3,3,50,10,75000,1900000,5,5,300,40,spore spoilage
241,467,11,6,5,NA,2.6e+07,2.5e+08,5,NA,2.9e+07,5.6e+08,PPC
242,467,12,3,180,460,1000,9000,5,320,500,660,PPC
243,467,12-1,3,180,22000,9.9e+07,3.3e+09,5,22000,8.4e+07,2.9e+09,PPC
244,467,12-2,4,50,70,1100,9700000,5,5,5,5,spore spoilage
245,467,12-3,3,240,30,2900,180000,20,5,5,20,spore spoilage
246,467,13,3,50,70,4e+08,2.6e+08,5,5,460,50000,spore spoilage
247,467,13-1,3,80,10,80,30,5,5,5,2000,no spoilage
248,467,13-2,4,60,20,10,5,5,5,5,5,no spoilage
249,467,13-3,3,50,150,210,1100000,5,5,5,5,spore spoilage
250,467,14,3,40,100,340000,2.9e+08,100,5,280,50000,spore spoilage
251,467,15,4,100,50,4.4e+07,2.5e+07,5,5,50,50000,spore spoilage
252,471,11,6,50,NA,100,60000,5,NA,5,5,spore spoilage
253,471,12,6,140,NA,60,80,5,NA,5,5,no spoilage
254,471,12-1,6,30,NA,30,1.1e+08,5,NA,5,9.3e+07,PPC
255,471,13,6,80,NA,50,1700,5,NA,5,5,no spoilage
256,471,13-1,6,50,NA,1.8e+07,1.4e+08,5,NA,1.6e+07,1.3e+08,PPC
257,471,14,6,70,NA,30,60,5,NA,5,5,no spoilage
258,471,14-1,6,100,NA,430,60,5,NA,5,5,no spoilage
259,471,15,6,10,NA,8600,6500000,5,NA,5,500,spore spoilage
260,471,15-1,6,3,NA,1100,1200000,5,NA,5,50000,spore spoilage
261,466,61,1,180,3900000,5900000,NA,20,5500000,6800000,NA,PPC
262,466,62,1,360,4e+07,6.5e+08,NA,40,4e+07,4.2e+08,NA,PPC
263,466,62-1,1,350,4e+07,3.3e+08,NA,20,4e+07,6200000,NA,PPC
264,466,63,1,590,160000,1.2e+08,NA,20,170000,1.6e+08,NA,PPC
265,466,65,1,4900,69000,2400000,NA,5,4500,2600000,NA,PPC
266,469,51,5,40,NA,2.1e+08,NA,20,NA,1.9e+08,NA,PPC
267,469,52,5,150,NA,3e+08,NA,40,NA,3.5e+08,NA,PPC
268,469,53,5,70,NA,7.6e+07,NA,20,NA,7.8e+07,NA,PPC
269,469,55,5,3,NA,1.6e+08,NA,40,NA,1.6e+08,NA,PPC
270,469,71,7,18000,NA,2e+08,NA,16000,NA,1.6e+08,NA,PPC
271,469,72,7,6400,NA,8.9e+07,NA,7200,NA,1.7e+08,NA,PPC
272,469,73,7,3200,NA,6e+07,NA,3000,NA,5.4e+07,NA,PPC
273,469,75,7,190,NA,1200000,NA,5,NA,5,NA,spore spoilage
274,471,51,3,110,140,51000,2200000,5,5,5,880,spore spoilage
275,471,51-1,3,180,NA,64000,1.1e+08,5,NA,5,5,spore spoilage
276,471,52,5,670,NA,1700000,9.1e+07,5,NA,2200000,9e+07,PPC
277,471,52-1,2,480,280,390,850000,5,5,1700,5,spore spoilage
278,471,53,3,210,100,430,240000,5,5,5,5,spore spoilage
279,471,53-1,2,240,110,650,83000,5,5,5,2100,no spoilage
280,471,54,5,680,NA,4500,1900000,5,NA,5,5,spore spoilage
281,471,54-1,6,380,NA,72000,5200000,5,NA,5,220,spore spoilage
282,464,61,6,40,7400,3.6e+07,3.2e+08,5,5,4e+08,4.4e+08,PPC
283,464,61-1,5,10,140,61000,2100000,5,5,500,2000,spore spoilage
284,467,61,7,180,NA,390000,1.1e+08,5,NA,120000,8.2e+07,PPC
285,467,61-1,6,40,NA,1100,1200000,5,NA,5,370000,PPC
286,471,41,7,110,NA,4e+07,2.1e+08,120,NA,4e+07,2.1e+08,PPC
287,471,41-1,6,480,NA,6.6e+07,3.4e+08,380,NA,8.7e+07,3.6e+08,PPC
288,466,51,2,10,2200,5e+05,1300000,5,3600,50000,50000,PPC
289,466,52,2,30,4e+06,4.6e+08,1.3e+08,5,4e+06,7.6e+08,8.2e+07,PPC
290,466,52-1,2,20,20,330000,1.2e+07,5,5,5,50000,spore spoilage
291,466,53,2,30,30,41000,2900000,5,5,5,500,spore spoilage
292,466,53-1,2,20,10,11000,7400000,5,5,5,50000,spore spoilage
293,466,53-2,2,20,30,58000,5600000,5,5,5,500,spore spoilage
294,466,55,2,20,20,6800,3.4e+07,5,5,5,500,spore spoilage
295,466,55-1,2,40,30,22000,7.2e+07,5,5,5,50000,spore spoilage
296,468,31-1,1,20,20,90,4500,5,5,5,5,no spoilage
297,468,32,1,3,10,40,9200,5,5,5,5,no spoilage
298,468,32-1,1,5,10,20,33000,5,5,5,8400,no spoilage
299,468,33,1,3,10,40,67000,5,5,5,5,spore spoilage
300,468,35,1,40,70,210000,1.6e+08,5,5,5,5,spore spoilage
301,468,35-1,1,10,40,360000,2.2e+08,5,5,5,5,spore spoilage
302,470,61,3,30,20,310000,1.1e+08,5,5,6500,3100,spore spoilage
303,470,62,3,10,450,160000,4e+06,5,340,55000,50000,PPC
304,470,62-1,3,10,80,8300000,6.7e+07,5,80,1200000,2.2e+07,PPC
305,470,62-2,3,20,3,10000,1.9e+07,5,5,5,3.1e+07,PPC
306,470,63,3,80,2600,9.5e+07,1.6e+08,5,3000,1.3e+08,2e+08,PPC
307,470,63-1,3,80,20,290,1500,5,5,5,5,no spoilage
308,470,64,3,20,80,4e+05,1.5e+08,5,5,21000,5,spore spoilage
309,470,64-1,3,30,50,30,15000,5,5,5,5,no spoilage
310,470,65,3,40,2100,1.8e+08,3.6e+08,5,5,5,520,spore spoilage
311,464,11,5,110,NA,140,570,5,NA,5,5,no spoilage
312,464,12,5,50,NA,30,540000,5,NA,20,5,no spoilage
313,464,12-1,5,20,NA,130,140000,5,NA,5,5,no spoilage
314,464,13,5,50,NA,250000,1.6e+08,5,NA,4e+06,1.6e+08,PPC
315,464,13-1,5,130,NA,110,710,5,NA,5,5,no spoilage
316,464,14,5,20,NA,100,4000,5,NA,5,500,no spoilage
317,470,21,2,10,60,590,1700,5,5,5,5,no spoilage
318,470,22,2,20,30,190,8700,5,5,5,5,no spoilage
319,470,22-1,2,30,10,50,7000,5,5,5,1800,no spoilage
320,470,23,2,50,1200,500,93000,5,860,500,5,PPC
321,470,24,2,30,20,30,2600,5,5,5,5,no spoilage
322,502,11,2,70,130,4e+06,2.5e+08,5,5,4e+06,2.2e+08,PPC
323,502,12,2,470,40000,3.2e+09,7.5e+08,180,15000,3.7e+08,7.4e+08,PPC
324,502,12-1,2,810,45000,3.5e+08,1.2e+10,460,26000,4.7e+08,1.5e+10,PPC
325,502,13,2,60,270,2.5e+08,8.4e+09,5,180,4.1e+07,8.9e+09,PPC
326,502,14,2,50,2800,2.1e+09,1.1e+10,5,2200,2.7e+09,1e+10,PPC
327,502,21,2,400,62000,2.3e+08,NA,5,33000,3.5e+08,NA,PPC
328,502,22,3,360,7100,3.8e+08,NA,100,8800,9.2e+08,NA,PPC
329,502,22-1,3,430,1500,3.2e+07,NA,200,2000,3.4e+07,NA,PPC
330,502,22-2,3,150,80,7100,NA,5,5,5,NA,no spoilage
331,502,23,3,1100,34000,2.1e+08,NA,560,33000,2.1e+08,NA,PPC
332,502,25,3,2.5,10,4e+06,NA,5,5,4e+11,NA,PPC
333,502,25-1,3,40,60,4e+09,NA,60,80,4e+09,NA,PPC
334,502,31,0,10,220,1500000,NA,5,5,540000,NA,PPC
335,502,31-1,1,2.5,60,560000,NA,5,5,66000,NA,PPC
336,502,32,1,50,4e+06,1e+09,NA,5,4e+06,1.5e+09,NA,PPC
337,502,32-1,1,2.5,4e+06,4.9e+07,NA,5,4e+06,1.9e+08,NA,PPC
338,502,33,1,10,4e+06,1.4e+09,NA,5,4e+06,1.3e+09,NA,PPC
339,502,35,1,10,64000,1.2e+09,NA,5,63000,2.7e+09,NA,PPC
340,502,35-1,1,20,18000,5.1e+07,NA,5,5,5000,NA,spore spoilage
341,502,41,1,2.5,2800,1.1e+08,3.6e+08,5,2900,9.2e+07,3.6e+08,PPC
342,502,41-1,10,2.5,NA,2.5,2.5,5,NA,5,5,no spoilage
343,502,45,3,2.5,30,4e+06,1200000,5,5,5,5,spore spoilage
